id,review,clean_review,rating,sentiment,clean_word_count
9301,"Very good course, although too much long.",good course although much long,4,Positive,5
3950,"This course barely touches C programming. While explanatory about the Arduino functions and structure, It should have been spread into more weeks so that it could cover more.",course barely touch program explanatory arduino function structure spread week could cover,2,Negative,12
103706,"There's a lot of detailed information here, but it's surface level at best. I don't feel I have a better understanding of how smartphones work.Although I am now more familiar with the tech components of a few smartphone models and the timeline of iOS/Android OS development, I am not able to connect this information outside of base facts. I'm not even sure how the smartphone components fit together, or what they actually do.It would be a really interesting course if there were more examples, such as how smartphone components work together or a deeper comparison between the iOS and Android systems is used when discussing the development timeline of each model, instead of pure cognitive knowledge being read from a slide.Maybe these concepts are explored further in the other courses for this certificate, but as a stand alone introduction to smartphone technologies the information is poorly imparted.",lot detail information surface level best feel better understand smartphones work although familiar tech component smartphone model timeline io android development able connect information outside base fact even sure smartphone component fit together actually would really interest course example smartphone component work together deeper comparison io android system use discus development timeline model instead pure cognitive knowledge read slide maybe concept explore course certificate stand alone introduction smartphone technology information poorly impart,2,Negative,72
10452,Not enough detailed.,enough detail,3,Neutral,2
1067,very easy to follow,easy follow,4,Positive,2
13079,"I register in this course as a real beginner but I develop many practical skills in SQL, business analysis. I recommend it strongly for those who want to become a data analyst",register course real beginner develop many practical skill sql business analysis recommend strongly want become data analyst,5,Positive,17
48442,"It's not bad, but not amazing. I would recommend University of Michigan's Programming for Everybody (Python) over this course. While the game-oriented approach is fun, I don't like the excessive focus upon the simplegui module which was created by the instructors specifically for this course. You will learn some basic python concepts, but you'll spend way too much time learning how to use this module which you will likely never use again, and this is at the expense of learning how to use some of the more commonly used standard modules (eg datetime, sys, etc). I also found glitches in the materials, and many of the questions and grading rubrics are unclear or ambiguous. Very frustrating.",bad amaze would recommend university michigan program everybody python course game orient approach fun like excessive focus upon simplegui module create instructor specifically course learn basic python concept spend way much time learn use module likely never use expense learn use commonly use standard module datetime sys etc also find glitch material many question grade rubric unclear ambiguous frustrate,3,Neutral,59
20394,Fantastic course and instructor!,fantastic course instructor,5,Positive,3
22711,"Quick and easy. But I would have liked more examples. For instance, how NPV and IRR actually works on Excel. Luckily, I have some prior knowledge of the subject, but sometimes it was not so clear for a complete beginner.",quick easy would like example instance npv irr actually work excel luckily prior knowledge subject sometimes clear complete beginner,3,Neutral,19
61441,I don't like the peer review. I don't find it helpful at all.,like peer review find helpful,3,Neutral,5
95344,To much disconnect between assignments and lectures,much disconnect assignment lecture,3,Neutral,4
12411,"The course was good enough...but exercises were very simple. Only the final course was little bit challenging. For a guy that sits in IT business for a while it's rather too simple. Besides, I've learned spark basics which is super cool...so thanks for thatMaybe you could consider to build docker image instead of using virtual machines. VM is ok, but I think that docker can simplify all the stuff without necessary downloading, installations etc.Looking forward to the next spark challenges :)",course good enough exercise simple final course little bite challenge guy sit business rather simple besides learn spark basic super cool thank thatmaybe could consider build docker image instead use virtual machine think docker simplify stuff without necessary download installation etc look forward next spark challenge,3,Neutral,46
29803,"Much better than the first course in the specialization.Too many dependencies on non-standard data formats, like MS Word.",much better first course specialization many dependency non standard data format like word,3,Neutral,13
9358,"great course, its been almost 20 years since i took calculus, now iam refreshening everything for the FE Exam, and this course has been awesome!!!! thanks",great course almost year since take calculus iam refreshen everything exam course awesome thank,5,Positive,14
63052,"I'm bassoonist and I think, that the course is very valuable for non-conductors. It will be a great experience!",bassoonist think course valuable non conductor great experience,5,Positive,8
52843,"I love the content overall. However, I'm very disappointed that there are no video lectures at all. Ironically, I could find some old video lectures of this course on YouTube. The difficulty of this course warrants video lectures to convey many concepts and techniques, such as the Fitch system.Hopefully you can add video lectures back to this course.",love content overall however disappoint video lecture ironically could find old video lecture course youtube difficulty course warrant video lecture convey many concept technique fitch system hopefully add video lecture back course,3,Neutral,32
104913,Content runs a bit fast but good course for stat inference with R focus.,content run bite fast good course stat inference focus,3,Neutral,9
83338,"lectures were very good, however there were some issues with the text file for the compiler during the assignment,. The compiler did not let me call certain components of the list band kept giving me an error that it was out of range. Also it gave me errors with spacing that I could only fix by hiding compiler and bringing it back.",lecture good however issue text file compiler assignment compiler let call certain component list band keep give error range also give error space could fix hide compiler bring back,5,Positive,29
38999,A good course for beginners on this wonderful language.,good course beginner wonderful language,5,Positive,5
104852,Very clear and useful. Excellent course,clear useful excellent course,5,Positive,4
5642,"Great course. The lectures were very clear and informative. The labs were a very nice, easy way to get a hands on understanding of the tools being learned. Thank you!",great course lecture clear informative lab nice easy way get hand understand tool learn thank,5,Positive,15
4471,after the second week I droped this course...I thought it will include excel and economics knowledge but was very wrong..,second week drop course think include excel economics knowledge wrong,3,Neutral,10
78702,I really appreciate it,really appreciate,5,Positive,2
50306,"I really enjoyed the course and I think it provides powerful tools to understand teaching and making it more meaningful, how to improve student-teacher relations and how it can impact learning results.",really enjoy course think provide powerful tool understand teach make meaningful improve student teacher relation impact learn result,5,Positive,18
14755,"The course is basic, and quite simple. Some might say too simple. I think it should be about 1 week long. I already knew all the things going into it so it was easy to finish it over two days.",course basic quite simple might say simple think week long already know thing go easy finish two day,3,Neutral,18
9132,This comical man makes me very annoy.,comical man make annoy,2,Negative,4
50168,"Excelent teacher, very creative to show contents. Maybe the only complain that i have it's that you guys didn't give some spanish subtitle to your lessons, wich is something sad if you think on the excelence of your videos.Maybe the only other thing to emprove its the final video that you show, because sometimes its seems to be done very quickly at expense on the escene cut.However, greetings from Santiago of Chile.",excelent teacher creative show content maybe complain guy give spanish subtitle lesson wich something sad think excelence video maybe thing emprove final video show sometimes seem do quickly expense escene cut however greeting santiago chile,5,Positive,35
26729,Excellent course. I appreciated the focus on responsive websites with Bootstrap. I really liked the explanations on the core foundations of CSS & JavaScript that seasoned web front end developers should have.,excellent course appreciate focus responsive website bootstrap really like explanation core foundation cs javascript season web front end developer,5,Positive,19
95409,"The course gives practice in Python, but programming assignments were loaded with ""busy work"" that added little value and often had only loose ties to the material discussed in class. While this forces more independent learning, it also makes it so that this course isn't really much better than free online tutorials. I found myself learning almost everything for the programming assignments from the pandas package documentation and from Google searches that led to stackoverflow. For an instructor from the University of Michigan whose bio says ""I work with colleagues to design tools to better the teaching and learning experience in higher education,"" I was expecting a lot more value for the time spent in this class. I suspect that this course is being used to provide data for furthering his own research. It's often more difficult to maximize value to customers when personal incentives may not be perfectly aligned with customer (student) objectives.",course give practice python program assignment load busy work add little value often loose tie material discus class force independent learn also make course really much better free online tutorial find learn almost everything program assignment panda package documentation google search lead stackoverflow instructor university michigan whose bio say work colleague design tool better teach learn experience higher education expect lot value time spend class suspect course use provide data further research often difficult maximize value customer personal incentive may perfectly align customer student objective,2,Negative,85
31199,"This course is well worth a student's time and effort. There are excellent presentations by the professor, but in it's current format the course is too short for the amount of technical knowledge implicit in the material. In addition, the quizzes are poorly written. Some questions are asked at the end of modules when the subject of the question is not even introduced until the following module. Further, for some questions the right answer is either not given in the choices presented or the grading protocol doesn't recognize the correct answer. Some questions ask what answer is ""most correct"" which implies that there is a strong element of subjective judgement involved in its formulation. The student is allowed only one attempt at a quiz every 8 hours, where many other Coursera courses allow 3 attempts every 8 hours, which is more conducive learning and retaining the material due to the instant feedback. Finally, there are several ""NOT"" or 'opposite answer' questions which are valid but confusing, so the student must be careful when answering.Recommendations: 1. Add at least three more sessions to the class and spread the technical material out over more sessions. 2. Rewrite the quiz question set to clarify what you are asking, and make certain the material was covered in the module you are assessing. 3. Don't use 'what is the best answer' (""most correct"") type questions, they are ALL too subjective to be fair. 4. Recheck the grading protocol to make certain it is properly evaluating the answers.",course well worth student time effort excellent presentation professor current format course short amount technical knowledge implicit material addition quiz poorly write question ask end module subject question even introduce follow module question right answer either give choice present grade protocol recognize correct answer question ask answer correct imply strong element subjective judgement involve formulation student allow one attempt quiz every hour many coursera course allow attempt every hour conducive learn retain material due instant feedback finally several opposite answer question valid confuse student must careful answer recommendation add least three session class spread technical material session rewrite quiz question set clarify ask make certain material cover module assess use best answer correct type question subjective fair recheck grade protocol make certain properly evaluate answer,3,Neutral,125
95318,"Many bugs, lecture content does not cover topics required to complete the assignments, assignment instructions are not written in a clear way.",many bug lecture content cover topic require complete assignment assignment instruction write clear way,2,Negative,14
6697,Fantastic! Thanks so much to Mr. Biss and Coursera.,fantastic thank much biss coursera,5,Positive,5
19126,The course is for people having advanced knowledge in embedded architecture and knowledge. Until 3rd week is perfectly alright. But from 4th week the course changes to advanced knowledge. I do not think an intermediate could easily grasp enough knowledge from the 4th week. Kindly do the needful to change it.,course people advance knowledge embed architecture knowledge week perfectly alright week course change advance knowledge think intermediate could easily grasp enough knowledge week kindly needful change,2,Negative,26
11800,the lessons were too long in duration and i was really bored because the teaching didn't have anything engaging me to be more eager to listen and all the slides were with the same background and design and there were no pictures or animation or fun stuff to create some kind of diversity in the progress of the course.,lesson long duration really bore teach anything engage eager listen slide background design picture animation fun stuff create kind diversity progress course,2,Negative,22
66318,"Submit button wasn't working for assignment, assignment was heavily weighted on mobile app (which was the least pertinent part of the course for me), generally seemed disorganized.",submit button work assignment assignment heavily weight mobile app least pertinent part course generally seem disorganize,1,Negative,16
6632,Very poorly structured. Purely academic and dull as dishwater. Buddhist meditation is a profoundly beautiful tradition but there is no beating heart here. I gave up quickly.,poorly structure purely academic dull dishwater buddhist meditation profoundly beautiful tradition beat heart give quickly,1,Negative,15
85263,"Good explanations of data collection types that are used in python. Exercises could probably be a bit more challenging, but it will do for absolute beginners. Thank you.",good explanation data collection type use python exercise could probably bite challenge absolute beginner thank,5,Positive,15
18706,"The peer-review assignment is not properly designed. From my own experience, colleagues tend to underestimate other people's projects. In addition, the peer-review had an extra/optional advanced component (analysing criminal patterns for a second city; comparing patterns across two cities), which I carried out but got no extra credit for. The extra work was not even part of the assignment classification -- there should be a bonus question for students who carry out the advanced part of the assignment!",peer review assignment properly design experience colleague tend underestimate people project addition peer review extra optional advance component analyse criminal pattern second city compare pattern across two city carry get extra credit extra work even part assignment classification bonus question student carry advance part assignment,3,Neutral,45
93274,There is a disconnect between what is taught and what is assigned.,disconnect teach assign,2,Negative,3
22951,Great content but making the theory of ape or chimp the origin of humans as the corner of the course and intruduce it as a truth is very wrong and shameful.,great content make theory ape chimp origin human corner course intruduce truth wrong shameful,2,Negative,14
94342,The instructions for the final project were very unclear and even though I submitted all assignments well before their respective deadlines and reviewed the required number of projects my work was not processed for a grade thereby delaying my specialization completion.,instruction final project unclear even though submit assignment well respective deadline review require number project work process grade thereby delay specialization completion,2,Negative,22
66814,"Poor quality and heavily outdated content. Video quizzes were broken more often than not. Module Quizzes questions and answers were vague and poorly constructed resulting in choosing incorrect answers.Reading material was of poor quality with many ""industry professionals"" not being professional enough to perform a simple spelling and grammar check.",poor quality heavily outdated content video quiz break often module quiz question answer vague poorly construct result choose incorrect answer read material poor quality many industry professional professional enough perform simple spell grammar check,1,Negative,34
100072,"I do not recommend you to waste your time. Planned course activities for a week - just 13 minute speech of the lecturer, telling absolutely banal things and a few questions. Absolutely useless.",recommend waste time plan course activity week minute speech lecturer tell absolutely banal thing question absolutely useless,1,Negative,17
75049,"Extremely basic. I wouldn't even call this a full course. It's about half of an introductory course. I assume the pacing is to allow for people that may have difficulty with learning the language. I'm not certain that it has the depth necessary for those that may have difficulty though. If you are at all serious about learning to program, don't limit yourself to this course, or it's pacing. I would suggest researching every subject covered, to get a bit more depth, and moving through it at a brisk pace. If you take the pace suggested in the course, you're likely to have bought a new computer before you can program anything extremely useful.",extremely basic even call full course half introductory course assume pace allow people may difficulty learn language certain depth necessary may difficulty though serious learn program limit course pace would suggest research every subject cover get bite depth move brisk pace take pace suggest course likely buy new computer program anything extremely useful,2,Negative,53
38935,"Thanks to Coursera, and in particular to Madam Prof. Dr. Colleen for the wonderful opportunity extended to me that enabled me to learn the fundamentals of JavaScript. I pinch myself in disbelief that I could complete this course rather successfully at my ripe age of 73+! Hopefully, I would complete the next course also in the pipeline. Madam Prof. Dr. Colleen not only discusses the intricacies of the language but also stresses the importance of practice. I am a 'noob'! And certainly, I have profited. A very big thank you!",thank coursera particular madam prof colleen wonderful opportunity extend enable learn fundamental javascript pinch disbelief could complete course rather successfully ripe age hopefully would complete next course also pipeline madam prof colleen discus intricacy language also stress importance practice noob certainly profit big thank,5,Positive,44
22573,Not at all what I expeted,expeted,1,Negative,1
60857,Very low material not enough examples ( full emails),low material enough example full email,1,Negative,6
73146,Week 3 application assignment is buggy. If you input correct answers they will be marked as incorrect. You must use trial and error to find the wrong answers the quiz is looking for. It's a badly designed assignment that wastes students' time and creates a lot of frustration. Would not recommend the course because of it.,week application assignment buggy input correct answer mark incorrect must use trial error find wrong answer quiz look badly design assignment waste student time create lot frustration would recommend course,1,Negative,30
85720,The first three weeks are totally trivial. I hardly doubt that anyone learns something except how certain practices are called. (Maybe good for school students.) Week 4 is better. I recommend the lecturer to improve the previous weeks and to redistribute some of the contents of week four. Some real-world examples which point out typical mistakes or give useful hints would be welcome in the first three weeks as well.,first three week totally trivial hardly doubt anyone learn something except certain practice call maybe good school student week better recommend lecturer improve previous week redistribute content week four real world example point typical mistake give useful hint would welcome first three week well,1,Negative,44
1946,This is no real need for this course. Everything sounds like bits and pieces from magazine articles.... I suspect the sole purpose of its inclusion in the specialization is to fund Coursera. $79 at a time....,real need course everything sound like bit piece magazine article suspect sole purpose inclusion specialization fund coursera time,1,Negative,18
1599,Good basic intro to business metrics,good basic intro business metric,4,Positive,5
48747,it was too basic information/material for what I was expecting,basic information material expect,2,Negative,4
60822,Clear and essenzial focus on the main aspects,clear essenzial focus main aspect,3,Neutral,5
4729,Very interesting and easy.,interest easy,4,Positive,2
63186,"The course was overwrought in general - seemed like it could have been accomplished in four weeks instead of five. The instructor was clear most of the time, but there were places were the concepts were unclear, probably 80 percent was on target. This might explain the inconsistent grading of written assignments. Needs some fine tuning, but worth the time.",course overwrought general seem like could accomplish four week instead five instructor clear time place concept unclear probably percent target might explain inconsistent grade write assignment need fine tune worth time,3,Neutral,31
17332,"This course has appealing assignments and covers interesting topics. The course, however, has two fatal flaws. First, the lectures are a bit disjointed. While there is much to learn in the lectures, the lecturers style is a bit halting and scattered (it would have been much better presented if the lecturer had a script to read off of.) As is, the lectures are mediocre, which is unfortunate since the lecturer is clearly knowledgeable about the topics presented.Second, the assignments suffer from a lack of good error messaging and no support in the forums (aside from what you will find from other students, which can be very helpful at times.) The assignments themselves are a great approach to learning concepts (and you get to work with real data, like the Twitter data), but without good error messaging when you submit a script you pretty much end guessing where you are taking a wrong turn.I had high hopes for this course, but it seems as though it fails on execution.",course appeal assignment cover interest topic course however two fatal flaw first lecture bite disjoint much learn lecture lecturer style bite halt scatter would much better present lecturer script read lecture mediocre unfortunate since lecturer clearly knowledgeable topic present second assignment suffer lack good error message support forum aside find student helpful time assignment great approach learn concept get work real data like twitter data without good error message submit script pretty much end guess take wrong turn high hop course seem though fail execution,3,Neutral,85
73165,This teacher is an amateur.,teacher amateur,2,Negative,2
92805,Not practical for beginners. Probably useful if you already have extensive experience with other programming languages.,practical beginner probably useful already extensive experience program language,3,Neutral,9
74846,Very good course. The information is passed on effortlessly by the professor and all the study material is very helpful. Definitely recommend it to all who want to learn Python.,good course information pas effortlessly professor study material helpful definitely recommend want learn python,4,Positive,14
101817,Great Course and amazing info .,great course amaze info,5,Positive,4
79700,Really good beginners course as it actively gets you building apps whilst trying to teach you key concepts of programming in Objective C,really good beginner course actively get build apps whilst try teach key concept program objective,4,Positive,15
44566,interesting and simple tricks that can apply to everyday life,interest simple trick apply everyday life,4,Positive,6
89077,The course content is very superficial. The pass mark is very high for a course I had taken because of a mild interest. You have to get 80% to pass. One unit in particular was very confusing. It took me 7 attempts to pass it as I had no idea what the first question was about and there was no guidance as to what I was doing wrong.,course content superficial pas mark high course take mild interest get pas one unit particular confuse take attempt pas idea first question guidance wrong,3,Neutral,24
45527,I wish I I had this 40 years ago.,wish year ago,5,Positive,3
92466,"Errors and glitches in the first two quizes that aren't fixed ('Don't worry, be happy, it's just a formating error, ignore the literal text displayed and just use your imagination to interpret what we thought we meant to say') have left me too unimpressed to spend more time wondering if I need to debug my code or debug their quizes.There are many other resources for learning python out there, and some of them take pedagogy seriously. Not, it seems, this one.",error glitch first two quiz fix worry happy format error ignore literal text display use imagination interpret think mean say leave unimpressed spend time wonder need debug code debug quiz many resource learn python take pedagogy seriously seem one,1,Negative,39
69883,It's a decent course. Not as thorough as Analytics Edge or Machine Learning (by Andrew Ng).,decent course thorough analytics edge machine learn andrew,3,Neutral,8
78490,Excellent! I learned a lot.,excellent learn lot,5,Positive,3
50002,Very few programming assignments..,program assignment,3,Neutral,2
61485,The content is very similar to the Marketing analytics in practice one,content similar market analytics practice one,3,Neutral,6
37918,"Hastily put together. Quickly steps over lots of material, some of it is out of order. There is an entire video in week three, that covers material needed to complete the assignment the week before, for example.",hastily put together quickly step lot material order entire video week three cover material need complete assignment week example,2,Negative,19
35163,Thanks I really enjoyed this course and I've learned a lot!,thank really enjoy course learn lot,5,Positive,6
93141,"Very painful training, the contents reviewed in the material will not make you capable to solve the weekly assignments, you will have to learn what you need on your own. To me the only value added of this course is that I will receive a proof that I know how to define basic functions in R.",painful train content review material make capable solve weekly assignment learn need value add course receive proof know define basic function,1,Negative,21
42623,Great course! The best course has I did.,great course best course,5,Positive,4
27942,"The amount of information covered in this course is just right for a beginner. But it suffers because one, the lectures are boring and lifeless (can you imagine graphics design being BORING?), and two, the examples are UNINSPIRING. They could've done better than use the same circles, squares and triangles to explain various concepts! It's hard to get excited about a topic when the presentation is this dull. And did I mention the lecturer doesn't even look directly at the viewer? It's like they're looking at a monitor or camera on the side, so it's like he's talking to somebody else.So in summary, basic concepts and information are there, yes. And it's free so take it and check out the others in the series. It's just that execution could've been a lot better.",amount information cover course right beginner suffer one lecture bore lifeless imagine graphic design bore two example uninspiring could do better use circle square triangle explain various concept hard get excite topic presentation dull mention lecturer even look directly viewer like look monitor camera side like talk somebody else summary basic concept information yes free take check others series execution could lot better,2,Negative,63
63666,"This is a very basic course in using the arduino and having it communicate with various other devices. It is not a bad thing to have such a basic course exist, it is a good thing, but there are definite flaws in the course, the main ones being the grading system for the assignments and the lack of a place to go for clarification of the assignment / grading questions.Both the penultimate and the final assignments require a certain amount of extra research and learning beyond what was taught in the lectures and yet the grading instructions for the assignments did not allow for taking that into account; the grading criteria was either binary (grade of 100%, or 0) or had the possibility of a partial passing grade but without listing a number of possible criteria that would put a project into the partial passing grade category.",basic course use arduino communicate various device bad thing basic course exist good thing definite flaw course main one grade system assignment lack place clarification assignment grade question penultimate final assignment require certain amount extra research learn beyond teach lecture yet grade instruction assignment allow take account grade criterion either binary grade possibility partial pas grade without list number possible criterion would put project partial pas grade category,4,Positive,68
94101,"There should be an instructor available to address specific grading concerns. Peer-grading is too subjective and students use their opinions as opposed to rubrics for grading, and often do not read all the material prior to assigning a score.",instructor available address specific grade concern peer grade subjective student use opinion oppose rubric grade often read material prior assign score,1,Negative,21
32144,"I do not like this course. There are far too many prejudicial ideas - even in the first unit. A language does not have to be used by a single / unified group to define it as a language. Esperanto is a perfectly valid language, fully capable of expression, and does not belong to a single / unified group. There are no native speakers, either - which does not rob it of the fact that there are winners of the Nobel Prize for literature who write in it. The things you are saying about language are not merely willfully ignorant, they are highly offensive & prejudicial. I cannot conscience supporting a course like this.",like course far many prejudicial idea even first unit language use single unify group define language esperanto perfectly valid language fully capable expression belong single unify group native speaker either rob fact winner nobel prize literature write thing say language merely willfully ignorant highly offensive prejudicial conscience support course like,1,Negative,50
62841,"The teacher lacks the ability of mathematical description, including clearing defining concepts, describing everything in mathematical languages, and showing math formulas of t-tests. She hopes to hide everything behind the canvas and just show how statistics are applied. But without enough mathematics nothing she said makes sense. I have to search on the internet to get to know what she didn't teach.------from a math phd.",teacher lack ability mathematical description include clear define concept describe everything mathematical language show math formula test hop hide everything behind canvas show statistic apply without enough mathematics nothing say make sense search internet get know teach math phd,1,Negative,39
104005,"The material is OK, the video quality is regular and the instructors are childish. I prefer the Android specialization where the instructors are more mature and professional.",material video quality regular instructor childish prefer android specialization instructor mature professional,3,Neutral,12
52368,"Where is the actual information ,are some parts missing , are they payed ? useless",actual information part miss pay useless,1,Negative,6
93779,The assignments are highly dissociated from the course material. Also once the due date has passed sharing the best solution would help so as to give insights on what could have been done better.,assignment highly dissociate course material also due date pas share best solution would help give insight could do better,2,Negative,19
