order_id,assignment_id,user_id,problem_id,skill_id,skill_name,correct,attempt_count,hint_count,hint_total,ms_first_response,overlap_time,clean_skill_name
21616385,263366,21825,48881,10.0,Table,0,1,0,0,21942,21962,table
21616385,263366,21825,48881,12.0,Mean,0,1,0,0,21942,21962,mean
21616478,263366,21825,49016,10.0,Table,1,1,0,0,88939,88939,table
21616478,263366,21825,49016,12.0,Mean,1,1,0,0,88939,88939,mean
21616677,263366,21825,49008,10.0,Table,1,1,0,0,46960,46960,table
21616677,263366,21825,49008,12.0,Mean,1,1,0,0,46960,46960,mean
21616919,263366,21825,49052,10.0,Table,1,1,0,0,82821,82821,table
21616919,263366,21825,49052,12.0,Mean,1,1,0,0,82821,82821,mean
21671620,263367,21825,56841,10.0,Table,0,1,0,0,86655,86748,table
21671620,263367,21825,56841,13.0,Median,0,1,0,0,86655,86748,median
21671720,263367,21825,56871,10.0,Table,1,1,0,0,55062,55062,table
21671720,263367,21825,56871,13.0,Median,1,1,0,0,55062,55062,median
21671764,263367,21825,56730,10.0,Table,0,0,0,0,306200,306200,table
21671764,263367,21825,56730,13.0,Median,0,0,0,0,306200,306200,median
23944780,266324,21825,90543,279.0,Multiplication and Division Integers,1,1,0,0,5906,5906,multiplication division integer
23944797,266324,21825,90594,279.0,Multiplication and Division Integers,1,1,0,0,4015,4015,multiplication division integer
23944811,266324,21825,90425,279.0,Multiplication and Division Integers,1,1,0,0,4391,4391,multiplication division integer
23944830,266324,21825,90531,279.0,Multiplication and Division Integers,1,1,0,0,3438,3438,multiplication division integer
23944849,266324,21825,90597,279.0,Multiplication and Division Integers,1,1,0,0,6844,6844,multiplication division integer
23944907,266325,21825,90177,279.0,Multiplication and Division Integers,1,1,0,5,3829,3829,multiplication division integer
23944935,266325,21825,90148,279.0,Multiplication and Division Integers,1,1,0,0,4281,4281,multiplication division integer
23944952,266325,21825,90118,279.0,Multiplication and Division Integers,1,1,0,0,3906,3906,multiplication division integer
23944969,266325,21825,90221,279.0,Multiplication and Division Integers,1,1,0,4,3797,3797,multiplication division integer
23944981,266325,21825,90173,279.0,Multiplication and Division Integers,1,1,0,5,2922,2922,multiplication division integer
34802035,279792,64532,53697,58.0,Addition Whole Numbers,1,1,0,0,13906,13906,addition whole number
34802035,279792,64532,53697,85.0,Absolute Value,1,1,0,0,13906,13906,absolute value
34802209,279792,64532,53617,58.0,Addition Whole Numbers,1,1,0,0,5235,5235,addition whole number
34802209,279792,64532,53617,85.0,Absolute Value,1,1,0,0,5235,5235,absolute value
34802286,279792,64532,53669,74.0,Subtraction Whole Numbers,1,1,0,0,7860,7860,subtraction whole number
34802286,279792,64532,53669,85.0,Absolute Value,1,1,0,0,7860,7860,absolute value
34802380,279792,64532,53581,58.0,Addition Whole Numbers,1,1,0,0,42860,42860,addition whole number
34802380,279792,64532,53581,85.0,Absolute Value,1,1,0,0,42860,42860,absolute value
34802798,279792,64532,53553,58.0,Addition Whole Numbers,1,1,0,0,7828,7828,addition whole number
34802798,279792,64532,53553,85.0,Absolute Value,1,1,0,0,7828,7828,absolute value
34802963,279793,64532,85270,85.0,Absolute Value,1,1,0,3,50859,50859,absolute value
34803408,279793,64532,85273,85.0,Absolute Value,1,1,0,3,6078,6078,absolute value
34803485,279793,64532,84797,58.0,Addition Whole Numbers,1,1,0,0,6359,6359,addition whole number
34803485,279793,64532,84797,85.0,Absolute Value,1,1,0,0,6359,6359,absolute value
34803568,279793,64532,84761,74.0,Subtraction Whole Numbers,1,1,0,0,8984,8984,subtraction whole number
34803568,279793,64532,84761,85.0,Absolute Value,1,1,0,0,8984,8984,absolute value
34803683,279793,64532,85289,74.0,Subtraction Whole Numbers,1,1,0,0,5046,5046,subtraction whole number
34803683,279793,64532,85289,85.0,Absolute Value,1,1,0,0,5046,5046,absolute value
21429719,263328,70679,89720,277.0,Addition and Subtraction Integers,0,1,1,3,111455,138522,addition subtraction integer
21430848,263328,70679,84903,277.0,Addition and Subtraction Integers,0,4,0,3,14319,43914,addition subtraction integer
21431130,263328,70679,89734,277.0,Addition and Subtraction Integers,0,3,0,3,13507,42183,addition subtraction integer
21431462,263328,70679,84900,277.0,Addition and Subtraction Integers,0,5,0,3,39898,95417,addition subtraction integer
21432219,263328,70679,89741,277.0,Addition and Subtraction Integers,0,2,0,3,11237,16149,addition subtraction integer
21432344,263328,70679,84897,277.0,Addition and Subtraction Integers,0,2,0,4,21154,23781,addition subtraction integer
21432507,263328,70679,89758,277.0,Addition and Subtraction Integers,0,2,0,3,12434,24542,addition subtraction integer
21432796,263315,70679,54019,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,17718,17796,addition subtraction positive decimal
21433532,263315,70679,54091,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,26013,26076,addition subtraction positive decimal
21434373,263315,70679,54031,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,20410,20472,addition subtraction positive decimal
31713130,220659,70679,49056,10.0,Table,0,1,0,0,262423,262534,table
31713130,220659,70679,49056,12.0,Mean,0,1,0,0,262423,262534,mean
31713841,220659,70679,49016,10.0,Table,1,1,0,0,978183,978183,table
31713841,220659,70679,49016,12.0,Mean,1,1,0,0,978183,978183,mean
31714200,220659,70679,49044,10.0,Table,1,1,0,0,137130,137130,table
31714200,220659,70679,49044,12.0,Mean,1,1,0,0,137130,137130,mean
31714211,220659,70679,48877,10.0,Table,1,1,0,0,100043,100043,table
31714211,220659,70679,48877,12.0,Mean,1,1,0,0,100043,100043,mean
31714455,220660,70679,49146,10.0,Table,0,1,0,0,559228,559334,table
31714455,220660,70679,49146,13.0,Median,0,1,0,0,559228,559334,median
31715238,220660,70679,49113,10.0,Table,1,1,0,0,142097,142097,table
31715238,220660,70679,49113,13.0,Median,1,1,0,0,142097,142097,median
31715287,220660,70679,49080,10.0,Table,1,1,0,0,307591,307591,table
31715287,220660,70679,49080,13.0,Median,1,1,0,0,307591,307591,median
31715332,220660,70679,49128,10.0,Table,1,1,0,0,220714,220714,table
31715332,220660,70679,49128,13.0,Median,1,1,0,0,220714,220714,median
31715343,220662,70679,50715,10.0,Table,0,1,0,0,180665,180788,table
31715343,220662,70679,50715,14.0,Mode,0,1,0,0,180665,180788,mode
31715361,220662,70679,50775,10.0,Table,1,1,0,0,9384,9384,table
31715361,220662,70679,50775,14.0,Mode,1,1,0,0,9384,9384,mode
31715368,220662,70679,50784,10.0,Table,1,1,0,0,15152,15152,table
31715368,220662,70679,50784,14.0,Mode,1,1,0,0,15152,15152,mode
31715374,220662,70679,50730,10.0,Table,1,1,0,0,5299,5299,table
31715374,220662,70679,50730,14.0,Mode,1,1,0,0,5299,5299,mode
31715385,220656,70679,57823,9.0,Stem and Leaf Plot,0,1,0,0,86505,86700,stem leaf plot
31715385,220656,70679,57823,12.0,Mean,0,1,0,0,86505,86700,mean
31715469,220656,70679,57937,9.0,Stem and Leaf Plot,0,1,0,0,16162,16348,stem leaf plot
31715469,220656,70679,57937,15.0,Range,0,1,0,0,16162,16348,range
31715546,220656,70679,58045,9.0,Stem and Leaf Plot,0,1,0,0,253579,253715,stem leaf plot
31715546,220656,70679,58045,14.0,Mode,0,1,0,0,253579,253715,mode
31715641,220656,70679,58099,9.0,Stem and Leaf Plot,0,1,0,0,66371,66572,stem leaf plot
31715641,220656,70679,58099,12.0,Mean,0,1,0,0,66371,66572,mean
33864702,277494,70679,53597,58.0,Addition Whole Numbers,1,1,0,0,8771,8771,addition whole number
33864702,277494,70679,53597,85.0,Absolute Value,1,1,0,0,8771,8771,absolute value
33864778,277495,70679,89711,277.0,Addition and Subtraction Integers,1,1,0,3,15451,15451,addition subtraction integer
33864803,277496,70679,54091,278.0,Addition and Subtraction Positive Decimals,1,1,0,0,246745,246745,addition subtraction positive decimal
33865185,277497,70679,86356,280.0,Addition and Subtraction Fractions,1,1,0,4,108255,108255,addition subtraction fraction
33865426,277498,70679,58800,280.0,Addition and Subtraction Fractions,1,1,0,3,20200,20200,addition subtraction fraction
33865510,277499,70679,49279,58.0,Addition Whole Numbers,1,1,0,4,25628,25628,addition whole number
33865545,277499,70679,49282,58.0,Addition Whole Numbers,1,1,0,4,23701,23701,addition whole number
33865580,277499,70679,49263,58.0,Addition Whole Numbers,1,1,0,4,20779,20779,addition whole number
33865621,277499,70679,49270,58.0,Addition Whole Numbers,1,1,0,4,16750,16750,addition whole number
33865646,277499,70679,49271,58.0,Addition Whole Numbers,1,1,0,4,27751,27751,addition whole number
33865674,277500,70679,85715,49.0,Ordering Positive Decimals,1,1,0,4,120141,120141,ordering positive decimal
33865786,277501,70679,84911,47.0,Conversion of Fraction Decimals Percents,1,1,0,2,35054,35054,conversion fraction decimal percent
33865832,277501,70679,84721,47.0,Conversion of Fraction Decimals Percents,1,1,0,2,4960,4960,conversion fraction decimal percent
33865847,277501,70679,84741,47.0,Conversion of Fraction Decimals Percents,1,1,0,2,4239,4239,conversion fraction decimal percent
33865874,277502,70679,85804,47.0,Conversion of Fraction Decimals Percents,1,1,0,3,17056,17056,conversion fraction decimal percent
33865975,277503,70679,85953,47.0,Conversion of Fraction Decimals Percents,1,1,0,3,11560,11560,conversion fraction decimal percent
33866015,277504,70679,61113,47.0,Conversion of Fraction Decimals Percents,1,1,0,5,137373,137373,conversion fraction decimal percent
33866175,277505,70679,87844,34.0,Unit Conversion Within a System,0,2,1,3,33059,67260,unit conversion within system
33866175,277505,70679,87844,81.0,Unit Rate,0,2,1,3,33059,67260,unit rate
33866500,277511,70679,51589,86.0,Exponents,1,1,0,3,29417,29417,exponent
33866762,277507,70679,88557,276.0,Multiplication and Division Positive Decimals,1,1,0,6,17251,17251,multiplication division positive decimal
33866776,277525,70679,66464,49.0,Ordering Positive Decimals,1,1,0,0,6292,6292,ordering positive decimal
35033880,277506,70679,85097,70.0,Percent Of,1,1,0,4,32304,32304,percent
35033902,277508,70679,87033,61.0,Division Fractions,0,2,1,5,7229,62825,division fraction
35033916,277508,70679,87119,61.0,Division Fractions,1,1,0,4,43910,43910,division fraction
35033929,277508,70679,87024,61.0,Division Fractions,1,1,0,5,73336,73336,division fraction
35033965,277508,70679,87030,61.0,Division Fractions,1,1,0,5,10766,10766,division fraction
35033978,277509,70679,54460,279.0,Multiplication and Division Integers,1,1,0,4,11378,11378,multiplication division integer
35033991,277510,70679,54541,279.0,Multiplication and Division Integers,1,1,0,0,41336,41336,multiplication division integer
35034412,277513,70679,108966,77.0,Finding Percents,1,1,0,0,42705,42705,finding percent
35034438,277513,70679,108987,77.0,Finding Percents,1,1,0,0,53628,53628,finding percent
35034451,277513,70679,108918,77.0,Finding Percents,1,1,0,0,25453,25453,finding percent
35034463,277514,70679,87471,83.0,Divisibility Rules,1,1,0,3,17145,17145,divisibility rule
35034472,277514,70679,87467,83.0,Divisibility Rules,0,2,0,3,74905,77584,divisibility rule
35034495,277514,70679,87438,83.0,Divisibility Rules,1,1,0,3,8213,8213,divisibility rule
35034511,277514,70679,87513,83.0,Divisibility Rules,1,1,0,3,26647,26647,divisibility rule
35034519,277514,70679,87590,83.0,Divisibility Rules,1,1,0,3,4384,4384,divisibility rule
35034526,277514,70679,87446,83.0,Divisibility Rules,1,1,0,3,9479,9479,divisibility rule
35034532,277514,70679,87563,83.0,Divisibility Rules,1,1,0,3,3148,3148,divisibility rule
35034550,277515,70679,90230,279.0,Multiplication and Division Integers,1,1,0,4,6580,6580,multiplication division integer
35034561,277516,70679,90701,92.0,Pattern Finding ,0,4,3,3,75477,310014,pattern finding
35034673,277516,70679,90365,279.0,Multiplication and Division Integers,1,1,0,0,4602,4602,multiplication division integer
35034682,277516,70679,90636,279.0,Multiplication and Division Integers,1,1,0,0,3712,3712,multiplication division integer
35034690,277516,70679,90356,279.0,Multiplication and Division Integers,1,1,0,0,3094,3094,multiplication division integer
35034711,277517,70679,89957,277.0,Addition and Subtraction Integers,1,1,0,2,70418,70418,addition subtraction integer
35034767,277518,70679,86226,65.0,Least Common Multiple,1,1,0,4,23582,23582,least common multiple
35034783,277518,70679,86221,65.0,Least Common Multiple,1,1,0,4,6137,6137,least common multiple
35034802,277519,70679,86152,65.0,Least Common Multiple,0,4,2,5,37293,57941,least common multiple
35034829,277519,70679,86172,65.0,Least Common Multiple,1,1,0,5,3776,3776,least common multiple
35034836,277519,70679,86157,65.0,Least Common Multiple,0,2,0,5,3666,7218,least common multiple
35034846,277519,70679,86149,65.0,Least Common Multiple,1,1,0,5,2344,2344,least common multiple
35034854,277519,70679,86143,65.0,Least Common Multiple,1,1,0,5,3134,3134,least common multiple
35034861,277519,70679,86155,65.0,Least Common Multiple,1,1,0,5,3209,3209,least common multiple
35034880,277520,70679,54143,67.0,Multiplication Fractions,1,1,0,4,76207,76207,multiplication fraction
35034937,277521,70679,86840,67.0,Multiplication Fractions,1,1,0,3,54037,54037,multiplication fraction
35034974,277522,70679,54241,279.0,Multiplication and Division Integers,1,1,0,0,4222,4222,multiplication division integer
35034988,277523,70679,62652,49.0,Ordering Positive Decimals,1,1,0,0,18703,18703,ordering positive decimal
35034988,277523,70679,62652,50.0,Ordering Fractions,1,1,0,0,18703,18703,ordering fraction
35035001,277524,70679,52828,49.0,Ordering Positive Decimals,1,1,0,4,8428,8428,ordering positive decimal
35035021,277526,70679,97928,50.0,Ordering Fractions,1,1,0,0,33023,33023,ordering fraction
35035037,277526,70679,97840,50.0,Ordering Fractions,1,1,0,0,8980,8980,ordering fraction
35035044,277526,70679,97876,50.0,Ordering Fractions,1,1,0,0,5866,5866,ordering fraction
35035059,277526,70679,97880,50.0,Ordering Fractions,1,1,0,0,4340,4340,ordering fraction
35035070,277526,70679,97904,50.0,Ordering Fractions,1,1,0,0,43951,43951,ordering fraction
35035089,277527,70679,66289,50.0,Ordering Fractions,1,1,0,5,12793,12793,ordering fraction
35035108,277528,70679,53342,51.0,Ordering Integers,1,1,0,3,13667,13667,ordering integer
35035147,277529,70679,66635,51.0,Ordering Integers,1,1,0,1,6308,6308,ordering integer
21441480,263315,70758,54015,278.0,Addition and Subtraction Positive Decimals,1,1,0,0,10219,10219,addition subtraction positive decimal
21441627,263316,70758,53792,280.0,Addition and Subtraction Fractions,1,1,0,3,59407,59407,addition subtraction fraction
21442047,263321,70758,54211,279.0,Multiplication and Division Integers,1,1,0,0,8031,8031,multiplication division integer
21442152,263317,70758,58827,280.0,Addition and Subtraction Fractions,1,1,0,3,28375,28375,addition subtraction fraction
21442400,263320,70758,54162,67.0,Multiplication Fractions,0,2,2,4,182409,272004,multiplication fraction
21444247,263320,70758,54150,67.0,Multiplication Fractions,1,1,0,4,29328,29328,multiplication fraction
21444430,263320,70758,54109,67.0,Multiplication Fractions,1,1,0,2,27266,27266,multiplication fraction
21444666,263320,70758,54129,67.0,Multiplication Fractions,1,1,0,2,10250,10250,multiplication fraction
21444787,263319,70758,54031,278.0,Addition and Subtraction Positive Decimals,1,1,0,0,45345,45345,addition subtraction positive decimal
21445266,263318,70758,49270,58.0,Addition Whole Numbers,1,1,0,4,47563,47563,addition whole number
21445680,263322,70758,53923,277.0,Addition and Subtraction Integers,1,1,0,4,39781,39781,addition subtraction integer
21446191,263323,70758,54591,279.0,Multiplication and Division Integers,1,1,0,5,83297,83297,multiplication division integer
24571866,263331,70758,71775,24.0,Congruence,1,1,0,3,16943,16943,congruence
29440880,270537,70758,85427,58.0,Addition Whole Numbers,1,1,0,0,130949,130949,addition whole number
29440880,270537,70758,85427,85.0,Absolute Value,1,1,0,0,130949,130949,absolute value
29440916,270538,70758,53585,58.0,Addition Whole Numbers,1,1,0,0,17076,17076,addition whole number
29440916,270538,70758,53585,85.0,Absolute Value,1,1,0,0,17076,17076,absolute value
29440938,270539,70758,54059,278.0,Addition and Subtraction Positive Decimals,1,1,0,0,35196,35196,addition subtraction positive decimal
29440960,270540,70758,86551,280.0,Addition and Subtraction Fractions,0,2,0,4,114546,118794,addition subtraction fraction
29440999,270540,70758,86517,280.0,Addition and Subtraction Fractions,0,2,1,4,110767,329473,addition subtraction fraction
29441096,270540,70758,86326,280.0,Addition and Subtraction Fractions,1,1,0,4,38553,38553,addition subtraction fraction
29441114,270540,70758,86450,280.0,Addition and Subtraction Fractions,1,1,0,4,76461,76461,addition subtraction fraction
29441128,270540,70758,86446,280.0,Addition and Subtraction Fractions,0,4,2,4,35255,123527,addition subtraction fraction
29441167,270540,70758,86349,280.0,Addition and Subtraction Fractions,0,2,0,4,41755,42818,addition subtraction fraction
29441175,270540,70758,86314,280.0,Addition and Subtraction Fractions,1,1,0,4,19191,19191,addition subtraction fraction
