order_id,assignment_id,user_id,problem_id,skill_id,skill_name,correct,attempt_count,hint_count,hint_total,ms_first_response,overlap_time
21616385,263366,21825,48881,10.0,Table,0,1,0,0,21942,21962
21616385,263366,21825,48881,12.0,Mean,0,1,0,0,21942,21962
21616478,263366,21825,49016,10.0,Table,1,1,0,0,88939,88939
21616478,263366,21825,49016,12.0,Mean,1,1,0,0,88939,88939
21616677,263366,21825,49008,10.0,Table,1,1,0,0,46960,46960
21616677,263366,21825,49008,12.0,Mean,1,1,0,0,46960,46960
21616919,263366,21825,49052,10.0,Table,1,1,0,0,82821,82821
21616919,263366,21825,49052,12.0,Mean,1,1,0,0,82821,82821
21671620,263367,21825,56841,10.0,Table,0,1,0,0,86655,86748
21671620,263367,21825,56841,13.0,Median,0,1,0,0,86655,86748
21671720,263367,21825,56871,10.0,Table,1,1,0,0,55062,55062
21671720,263367,21825,56871,13.0,Median,1,1,0,0,55062,55062
21671764,263367,21825,56730,10.0,Table,0,0,0,0,306200,306200
21671764,263367,21825,56730,13.0,Median,0,0,0,0,306200,306200
23944780,266324,21825,90543,279.0,Multiplication and Division Integers,1,1,0,0,5906,5906
23944797,266324,21825,90594,279.0,Multiplication and Division Integers,1,1,0,0,4015,4015
23944811,266324,21825,90425,279.0,Multiplication and Division Integers,1,1,0,0,4391,4391
23944830,266324,21825,90531,279.0,Multiplication and Division Integers,1,1,0,0,3438,3438
23944849,266324,21825,90597,279.0,Multiplication and Division Integers,1,1,0,0,6844,6844
23944907,266325,21825,90177,279.0,Multiplication and Division Integers,1,1,0,5,3829,3829
23944935,266325,21825,90148,279.0,Multiplication and Division Integers,1,1,0,0,4281,4281
23944952,266325,21825,90118,279.0,Multiplication and Division Integers,1,1,0,0,3906,3906
23944969,266325,21825,90221,279.0,Multiplication and Division Integers,1,1,0,4,3797,3797
23944981,266325,21825,90173,279.0,Multiplication and Division Integers,1,1,0,5,2922,2922
34802035,279792,64532,53697,58.0,Addition Whole Numbers,1,1,0,0,13906,13906
34802035,279792,64532,53697,85.0,Absolute Value,1,1,0,0,13906,13906
34802209,279792,64532,53617,58.0,Addition Whole Numbers,1,1,0,0,5235,5235
34802209,279792,64532,53617,85.0,Absolute Value,1,1,0,0,5235,5235
34802286,279792,64532,53669,74.0,Subtraction Whole Numbers,1,1,0,0,7860,7860
34802286,279792,64532,53669,85.0,Absolute Value,1,1,0,0,7860,7860
34802380,279792,64532,53581,58.0,Addition Whole Numbers,1,1,0,0,42860,42860
34802380,279792,64532,53581,85.0,Absolute Value,1,1,0,0,42860,42860
34802798,279792,64532,53553,58.0,Addition Whole Numbers,1,1,0,0,7828,7828
34802798,279792,64532,53553,85.0,Absolute Value,1,1,0,0,7828,7828
34802963,279793,64532,85270,85.0,Absolute Value,1,1,0,3,50859,50859
34803408,279793,64532,85273,85.0,Absolute Value,1,1,0,3,6078,6078
34803485,279793,64532,84797,58.0,Addition Whole Numbers,1,1,0,0,6359,6359
34803485,279793,64532,84797,85.0,Absolute Value,1,1,0,0,6359,6359
34803568,279793,64532,84761,74.0,Subtraction Whole Numbers,1,1,0,0,8984,8984
34803568,279793,64532,84761,85.0,Absolute Value,1,1,0,0,8984,8984
34803683,279793,64532,85289,74.0,Subtraction Whole Numbers,1,1,0,0,5046,5046
34803683,279793,64532,85289,85.0,Absolute Value,1,1,0,0,5046,5046
21429719,263328,70679,89720,277.0,Addition and Subtraction Integers,0,1,1,3,111455,138522
21430848,263328,70679,84903,277.0,Addition and Subtraction Integers,0,4,0,3,14319,43914
21431130,263328,70679,89734,277.0,Addition and Subtraction Integers,0,3,0,3,13507,42183
21431462,263328,70679,84900,277.0,Addition and Subtraction Integers,0,5,0,3,39898,95417
21432219,263328,70679,89741,277.0,Addition and Subtraction Integers,0,2,0,3,11237,16149
21432344,263328,70679,84897,277.0,Addition and Subtraction Integers,0,2,0,4,21154,23781
21432507,263328,70679,89758,277.0,Addition and Subtraction Integers,0,2,0,3,12434,24542
21432796,263315,70679,54019,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,17718,17796
21433532,263315,70679,54091,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,26013,26076
21434373,263315,70679,54031,278.0,Addition and Subtraction Positive Decimals,0,1,0,0,20410,20472
31713130,220659,70679,49056,10.0,Table,0,1,0,0,262423,262534
31713130,220659,70679,49056,12.0,Mean,0,1,0,0,262423,262534
31713841,220659,70679,49016,10.0,Table,1,1,0,0,978183,978183
31713841,220659,70679,49016,12.0,Mean,1,1,0,0,978183,978183
31714200,220659,70679,49044,10.0,Table,1,1,0,0,137130,137130
31714200,220659,70679,49044,12.0,Mean,1,1,0,0,137130,137130
31714211,220659,70679,48877,10.0,Table,1,1,0,0,100043,100043
31714211,220659,70679,48877,12.0,Mean,1,1,0,0,100043,100043
31714455,220660,70679,49146,10.0,Table,0,1,0,0,559228,559334
31714455,220660,70679,49146,13.0,Median,0,1,0,0,559228,559334
31715238,220660,70679,49113,10.0,Table,1,1,0,0,142097,142097
31715238,220660,70679,49113,13.0,Median,1,1,0,0,142097,142097
31715287,220660,70679,49080,10.0,Table,1,1,0,0,307591,307591
31715287,220660,70679,49080,13.0,Median,1,1,0,0,307591,307591
31715332,220660,70679,49128,10.0,Table,1,1,0,0,220714,220714
31715332,220660,70679,49128,13.0,Median,1,1,0,0,220714,220714
31715343,220662,70679,50715,10.0,Table,0,1,0,0,180665,180788
31715343,220662,70679,50715,14.0,Mode,0,1,0,0,180665,180788
31715361,220662,70679,50775,10.0,Table,1,1,0,0,9384,9384
31715361,220662,70679,50775,14.0,Mode,1,1,0,0,9384,9384
31715368,220662,70679,50784,10.0,Table,1,1,0,0,15152,15152
31715368,220662,70679,50784,14.0,Mode,1,1,0,0,15152,15152
31715374,220662,70679,50730,10.0,Table,1,1,0,0,5299,5299
31715374,220662,70679,50730,14.0,Mode,1,1,0,0,5299,5299
31715385,220656,70679,57823,9.0,Stem and Leaf Plot,0,1,0,0,86505,86700
31715385,220656,70679,57823,12.0,Mean,0,1,0,0,86505,86700
31715469,220656,70679,57937,9.0,Stem and Leaf Plot,0,1,0,0,16162,16348
31715469,220656,70679,57937,15.0,Range,0,1,0,0,16162,16348
31715546,220656,70679,58045,9.0,Stem and Leaf Plot,0,1,0,0,253579,253715
31715546,220656,70679,58045,14.0,Mode,0,1,0,0,253579,253715
31715641,220656,70679,58099,9.0,Stem and Leaf Plot,0,1,0,0,66371,66572
31715641,220656,70679,58099,12.0,Mean,0,1,0,0,66371,66572
33864702,277494,70679,53597,58.0,Addition Whole Numbers,1,1,0,0,8771,8771
33864702,277494,70679,53597,85.0,Absolute Value,1,1,0,0,8771,8771
33864778,277495,70679,89711,277.0,Addition and Subtraction Integers,1,1,0,3,15451,15451
33864803,277496,70679,54091,278.0,Addition and Subtraction Positive Decimals,1,1,0,0,246745,246745
33865185,277497,70679,86356,280.0,Addition and Subtraction Fractions,1,1,0,4,108255,108255
33865426,277498,70679,58800,280.0,Addition and Subtraction Fractions,1,1,0,3,20200,20200
