id,review,rating,sentiment,word_count_raw
9301,"Very good course, although too much long.",4,Positive,7
3950,"This course barely touches C programming. While explanatory about the Arduino functions and structure, It should have been spread into more weeks so that it could cover more.",2,Negative,28
103706,"There's a lot of detailed information here, but it's surface level at best. I don't feel I have a better understanding of how smartphones work.Although I am now more familiar with the tech components of a few smartphone models and the timeline of iOS/Android OS development, I am not able to connect this information outside of base facts. I'm not even sure how the smartphone components fit together, or what they actually do.It would be a really interesting course if there were more examples, such as how smartphone components work together or a deeper comparison between the iOS and Android systems is used when discussing the development timeline of each model, instead of pure cognitive knowledge being read from a slide.Maybe these concepts are explored further in the other courses for this certificate, but as a stand alone introduction to smartphone technologies the information is poorly imparted.",2,Negative,147
10452,Not enough detailed.,3,Neutral,3
1067,very easy to follow,4,Positive,4
13079,"I register in this course as a real beginner but I develop many practical skills in SQL, business analysis. I recommend it strongly for those who want to become a data analyst",5,Positive,32
48442,"It's not bad, but not amazing. I would recommend University of Michigan's Programming for Everybody (Python) over this course. While the game-oriented approach is fun, I don't like the excessive focus upon the simplegui module which was created by the instructors specifically for this course. You will learn some basic python concepts, but you'll spend way too much time learning how to use this module which you will likely never use again, and this is at the expense of learning how to use some of the more commonly used standard modules (eg datetime, sys, etc). I also found glitches in the materials, and many of the questions and grading rubrics are unclear or ambiguous. Very frustrating.",3,Neutral,116
20394,Fantastic course and instructor!,5,Positive,4
22711,"Quick and easy. But I would have liked more examples. For instance, how NPV and IRR actually works on Excel. Luckily, I have some prior knowledge of the subject, but sometimes it was not so clear for a complete beginner.",3,Neutral,40
61441,I don't like the peer review. I don't find it helpful at all.,3,Neutral,13
95344,To much disconnect between assignments and lectures,3,Neutral,7
12411,"The course was good enough...but exercises were very simple. Only the final course was little bit challenging. For a guy that sits in IT business for a while it's rather too simple. Besides, I've learned spark basics which is super cool...so thanks for thatMaybe you could consider to build docker image instead of using virtual machines. VM is ok, but I think that docker can simplify all the stuff without necessary downloading, installations etc.Looking forward to the next spark challenges :)",3,Neutral,81
29803,"Much better than the first course in the specialization.Too many dependencies on non-standard data formats, like MS Word.",3,Neutral,18
9358,"great course, its been almost 20 years since i took calculus, now iam refreshening everything for the FE Exam, and this course has been awesome!!!! thanks",5,Positive,26
63052,"I'm bassoonist and I think, that the course is very valuable for non-conductors. It will be a great experience!",5,Positive,19
52843,"I love the content overall. However, I'm very disappointed that there are no video lectures at all. Ironically, I could find some old video lectures of this course on YouTube. The difficulty of this course warrants video lectures to convey many concepts and techniques, such as the Fitch system.Hopefully you can add video lectures back to this course.",3,Neutral,58
104913,Content runs a bit fast but good course for stat inference with R focus.,3,Neutral,14
83338,"lectures were very good, however there were some issues with the text file for the compiler during the assignment,. The compiler did not let me call certain components of the list band kept giving me an error that it was out of range. Also it gave me errors with spacing that I could only fix by hiding compiler and bringing it back.",5,Positive,62
38999,A good course for beginners on this wonderful language.,5,Positive,9
104852,Very clear and useful. Excellent course,5,Positive,6
5642,"Great course. The lectures were very clear and informative. The labs were a very nice, easy way to get a hands on understanding of the tools being learned. Thank you!",5,Positive,30
4471,after the second week I droped this course...I thought it will include excel and economics knowledge but was very wrong..,3,Neutral,20
78702,I really appreciate it,5,Positive,4
50306,"I really enjoyed the course and I think it provides powerful tools to understand teaching and making it more meaningful, how to improve student-teacher relations and how it can impact learning results.",5,Positive,32
14755,"The course is basic, and quite simple. Some might say too simple. I think it should be about 1 week long. I already knew all the things going into it so it was easy to finish it over two days.",3,Neutral,40
9132,This comical man makes me very annoy.,2,Negative,7
50168,"Excelent teacher, very creative to show contents. Maybe the only complain that i have it's that you guys didn't give some spanish subtitle to your lessons, wich is something sad if you think on the excelence of your videos.Maybe the only other thing to emprove its the final video that you show, because sometimes its seems to be done very quickly at expense on the escene cut.However, greetings from Santiago of Chile.",5,Positive,72
26729,Excellent course. I appreciated the focus on responsive websites with Bootstrap. I really liked the explanations on the core foundations of CSS & JavaScript that seasoned web front end developers should have.,5,Positive,32
95409,"The course gives practice in Python, but programming assignments were loaded with ""busy work"" that added little value and often had only loose ties to the material discussed in class. While this forces more independent learning, it also makes it so that this course isn't really much better than free online tutorials. I found myself learning almost everything for the programming assignments from the pandas package documentation and from Google searches that led to stackoverflow. For an instructor from the University of Michigan whose bio says ""I work with colleagues to design tools to better the teaching and learning experience in higher education,"" I was expecting a lot more value for the time spent in this class. I suspect that this course is being used to provide data for furthering his own research. It's often more difficult to maximize value to customers when personal incentives may not be perfectly aligned with customer (student) objectives.",2,Negative,154
31199,"This course is well worth a student's time and effort. There are excellent presentations by the professor, but in it's current format the course is too short for the amount of technical knowledge implicit in the material. In addition, the quizzes are poorly written. Some questions are asked at the end of modules when the subject of the question is not even introduced until the following module. Further, for some questions the right answer is either not given in the choices presented or the grading protocol doesn't recognize the correct answer. Some questions ask what answer is ""most correct"" which implies that there is a strong element of subjective judgement involved in its formulation. The student is allowed only one attempt at a quiz every 8 hours, where many other Coursera courses allow 3 attempts every 8 hours, which is more conducive learning and retaining the material due to the instant feedback. Finally, there are several ""NOT"" or 'opposite answer' questions which are valid but confusing, so the student must be careful when answering.Recommendations: 1. Add at least three more sessions to the class and spread the technical material out over more sessions. 2. Rewrite the quiz question set to clarify what you are asking, and make certain the material was covered in the module you are assessing. 3. Don't use 'what is the best answer' (""most correct"") type questions, they are ALL too subjective to be fair. 4. Recheck the grading protocol to make certain it is properly evaluating the answers.",3,Neutral,252
95318,"Many bugs, lecture content does not cover topics required to complete the assignments, assignment instructions are not written in a clear way.",2,Negative,22
6697,Fantastic! Thanks so much to Mr. Biss and Coursera.,5,Positive,9
19126,The course is for people having advanced knowledge in embedded architecture and knowledge. Until 3rd week is perfectly alright. But from 4th week the course changes to advanced knowledge. I do not think an intermediate could easily grasp enough knowledge from the 4th week. Kindly do the needful to change it.,2,Negative,51
11800,the lessons were too long in duration and i was really bored because the teaching didn't have anything engaging me to be more eager to listen and all the slides were with the same background and design and there were no pictures or animation or fun stuff to create some kind of diversity in the progress of the course.,2,Negative,59
66318,"Submit button wasn't working for assignment, assignment was heavily weighted on mobile app (which was the least pertinent part of the course for me), generally seemed disorganized.",1,Negative,27
6632,Very poorly structured. Purely academic and dull as dishwater. Buddhist meditation is a profoundly beautiful tradition but there is no beating heart here. I gave up quickly.,1,Negative,27
85263,"Good explanations of data collection types that are used in python. Exercises could probably be a bit more challenging, but it will do for absolute beginners. Thank you.",5,Positive,28
18706,"The peer-review assignment is not properly designed. From my own experience, colleagues tend to underestimate other people's projects. In addition, the peer-review had an extra/optional advanced component (analysing criminal patterns for a second city; comparing patterns across two cities), which I carried out but got no extra credit for. The extra work was not even part of the assignment classification -- there should be a bonus question for students who carry out the advanced part of the assignment!",3,Neutral,78
93274,There is a disconnect between what is taught and what is assigned.,2,Negative,12
22951,Great content but making the theory of ape or chimp the origin of humans as the corner of the course and intruduce it as a truth is very wrong and shameful.,2,Negative,31
94342,The instructions for the final project were very unclear and even though I submitted all assignments well before their respective deadlines and reviewed the required number of projects my work was not processed for a grade thereby delaying my specialization completion.,2,Negative,41
66814,"Poor quality and heavily outdated content. Video quizzes were broken more often than not. Module Quizzes questions and answers were vague and poorly constructed resulting in choosing incorrect answers.Reading material was of poor quality with many ""industry professionals"" not being professional enough to perform a simple spelling and grammar check.",1,Negative,50
100072,"I do not recommend you to waste your time. Planned course activities for a week - just 13 minute speech of the lecturer, telling absolutely banal things and a few questions. Absolutely useless.",1,Negative,33
75049,"Extremely basic. I wouldn't even call this a full course. It's about half of an introductory course. I assume the pacing is to allow for people that may have difficulty with learning the language. I'm not certain that it has the depth necessary for those that may have difficulty though. If you are at all serious about learning to program, don't limit yourself to this course, or it's pacing. I would suggest researching every subject covered, to get a bit more depth, and moving through it at a brisk pace. If you take the pace suggested in the course, you're likely to have bought a new computer before you can program anything extremely useful.",2,Negative,114
38935,"Thanks to Coursera, and in particular to Madam Prof. Dr. Colleen for the wonderful opportunity extended to me that enabled me to learn the fundamentals of JavaScript. I pinch myself in disbelief that I could complete this course rather successfully at my ripe age of 73+! Hopefully, I would complete the next course also in the pipeline. Madam Prof. Dr. Colleen not only discusses the intricacies of the language but also stresses the importance of practice. I am a 'noob'! And certainly, I have profited. A very big thank you!",5,Positive,90
22573,Not at all what I expeted,1,Negative,6
60857,Very low material not enough examples ( full emails),1,Negative,9
73146,Week 3 application assignment is buggy. If you input correct answers they will be marked as incorrect. You must use trial and error to find the wrong answers the quiz is looking for. It's a badly designed assignment that wastes students' time and creates a lot of frustration. Would not recommend the course because of it.,1,Negative,56
85720,The first three weeks are totally trivial. I hardly doubt that anyone learns something except how certain practices are called. (Maybe good for school students.) Week 4 is better. I recommend the lecturer to improve the previous weeks and to redistribute some of the contents of week four. Some real-world examples which point out typical mistakes or give useful hints would be welcome in the first three weeks as well.,1,Negative,70
1946,This is no real need for this course. Everything sounds like bits and pieces from magazine articles.... I suspect the sole purpose of its inclusion in the specialization is to fund Coursera. $79 at a time....,1,Negative,36
1599,Good basic intro to business metrics,4,Positive,6
48747,it was too basic information/material for what I was expecting,2,Negative,10
60822,Clear and essenzial focus on the main aspects,3,Neutral,8
4729,Very interesting and easy.,4,Positive,4
63186,"The course was overwrought in general - seemed like it could have been accomplished in four weeks instead of five. The instructor was clear most of the time, but there were places were the concepts were unclear, probably 80 percent was on target. This might explain the inconsistent grading of written assignments. Needs some fine tuning, but worth the time.",3,Neutral,60
17332,"This course has appealing assignments and covers interesting topics. The course, however, has two fatal flaws. First, the lectures are a bit disjointed. While there is much to learn in the lectures, the lecturers style is a bit halting and scattered (it would have been much better presented if the lecturer had a script to read off of.) As is, the lectures are mediocre, which is unfortunate since the lecturer is clearly knowledgeable about the topics presented.Second, the assignments suffer from a lack of good error messaging and no support in the forums (aside from what you will find from other students, which can be very helpful at times.) The assignments themselves are a great approach to learning concepts (and you get to work with real data, like the Twitter data), but without good error messaging when you submit a script you pretty much end guessing where you are taking a wrong turn.I had high hopes for this course, but it seems as though it fails on execution.",3,Neutral,168
73165,This teacher is an amateur.,2,Negative,5
92805,Not practical for beginners. Probably useful if you already have extensive experience with other programming languages.,3,Neutral,16
74846,Very good course. The information is passed on effortlessly by the professor and all the study material is very helpful. Definitely recommend it to all who want to learn Python.,4,Positive,30
101817,Great Course and amazing info .,5,Positive,6
79700,Really good beginners course as it actively gets you building apps whilst trying to teach you key concepts of programming in Objective C,4,Positive,23
44566,interesting and simple tricks that can apply to everyday life,4,Positive,10
89077,The course content is very superficial. The pass mark is very high for a course I had taken because of a mild interest. You have to get 80% to pass. One unit in particular was very confusing. It took me 7 attempts to pass it as I had no idea what the first question was about and there was no guidance as to what I was doing wrong.,3,Neutral,68
45527,I wish I I had this 40 years ago.,5,Positive,9
92466,"Errors and glitches in the first two quizes that aren't fixed ('Don't worry, be happy, it's just a formating error, ignore the literal text displayed and just use your imagination to interpret what we thought we meant to say') have left me too unimpressed to spend more time wondering if I need to debug my code or debug their quizes.There are many other resources for learning python out there, and some of them take pedagogy seriously. Not, it seems, this one.",1,Negative,81
69883,It's a decent course. Not as thorough as Analytics Edge or Machine Learning (by Andrew Ng).,3,Neutral,16
78490,Excellent! I learned a lot.,5,Positive,5
50002,Very few programming assignments..,3,Neutral,4
61485,The content is very similar to the Marketing analytics in practice one,3,Neutral,12
37918,"Hastily put together. Quickly steps over lots of material, some of it is out of order. There is an entire video in week three, that covers material needed to complete the assignment the week before, for example.",2,Negative,37
35163,Thanks I really enjoyed this course and I've learned a lot!,5,Positive,11
93141,"Very painful training, the contents reviewed in the material will not make you capable to solve the weekly assignments, you will have to learn what you need on your own. To me the only value added of this course is that I will receive a proof that I know how to define basic functions in R.",1,Negative,56
42623,Great course! The best course has I did.,5,Positive,8
27942,"The amount of information covered in this course is just right for a beginner. But it suffers because one, the lectures are boring and lifeless (can you imagine graphics design being BORING?), and two, the examples are UNINSPIRING. They could've done better than use the same circles, squares and triangles to explain various concepts! It's hard to get excited about a topic when the presentation is this dull. And did I mention the lecturer doesn't even look directly at the viewer? It's like they're looking at a monitor or camera on the side, so it's like he's talking to somebody else.So in summary, basic concepts and information are there, yes. And it's free so take it and check out the others in the series. It's just that execution could've been a lot better.",2,Negative,133
63666,"This is a very basic course in using the arduino and having it communicate with various other devices. It is not a bad thing to have such a basic course exist, it is a good thing, but there are definite flaws in the course, the main ones being the grading system for the assignments and the lack of a place to go for clarification of the assignment / grading questions.Both the penultimate and the final assignments require a certain amount of extra research and learning beyond what was taught in the lectures and yet the grading instructions for the assignments did not allow for taking that into account; the grading criteria was either binary (grade of 100%, or 0) or had the possibility of a partial passing grade but without listing a number of possible criteria that would put a project into the partial passing grade category.",4,Positive,147
94101,"There should be an instructor available to address specific grading concerns. Peer-grading is too subjective and students use their opinions as opposed to rubrics for grading, and often do not read all the material prior to assigning a score.",1,Negative,39
32144,"I do not like this course. There are far too many prejudicial ideas - even in the first unit. A language does not have to be used by a single / unified group to define it as a language. Esperanto is a perfectly valid language, fully capable of expression, and does not belong to a single / unified group. There are no native speakers, either - which does not rob it of the fact that there are winners of the Nobel Prize for literature who write in it. The things you are saying about language are not merely willfully ignorant, they are highly offensive & prejudicial. I cannot conscience supporting a course like this.",1,Negative,114
62841,"The teacher lacks the ability of mathematical description, including clearing defining concepts, describing everything in mathematical languages, and showing math formulas of t-tests. She hopes to hide everything behind the canvas and just show how statistics are applied. But without enough mathematics nothing she said makes sense. I have to search on the internet to get to know what she didn't teach.------from a math phd.",1,Negative,65
104005,"The material is OK, the video quality is regular and the instructors are childish. I prefer the Android specialization where the instructors are more mature and professional.",3,Neutral,27
52368,"Where is the actual information ,are some parts missing , are they payed ? useless",1,Negative,15
93779,The assignments are highly dissociated from the course material. Also once the due date has passed sharing the best solution would help so as to give insights on what could have been done better.,2,Negative,34
44951,"The beginning sections of the course were interesting as they were descriptive of some pragmatic approaches towards thinking and learning like the POMODORO technique (excuse me if spelling is wrong). The later portions could have been better although they weren't that bad either. Overall, I learned how to learn!",3,Neutral,49
39263,The instructors were not very engaging.,2,Negative,6
3456,"Interesting content, but sooo slow. 20 minutes long videos could have been done in 5 minutes. Moreover, the teacher's voice and tone did nothing to make the content live.",2,Negative,29
60899,"Good content, feels very automated",3,Neutral,5
2451,Very informative but very dry presentations.,2,Negative,6
13289,"Enjoyed the class, Game Theory has always been interesting to me.",4,Positive,11
33658,I think it is great to have such helpful websites.,5,Positive,10
77472,A good start towards Python world!,5,Positive,6
93188,There is a disconnect between the video lectures and the assignments/quizzes.,1,Negative,11
67186,"There is a lot of good information in here that is told poorly. Professor simply reads the slides to you for the most part, foregoing practical examples in favor of sticking to abstract concepts, and letting you figure out the details. Quizzes had errors in them that made passing them unnecessarily difficult. The slides that you could download are sometimes cutoff, leaving information out. This is very indicative of the classes I had in college, where the class was ""here are a bunch of whitepapers/books, read them, and you'll be an expert"". There is little in the way of helping you understand these complicated concepts, and because they are complicated, many argue that should absolve the professor from needing to find a way to teach them in an understandable way (when other professors have been able to take complicated topics like this and distill it down to something that was both fun to learn and gave a solid foundation for going forward). I'm sure Professor Hinton has contributed much to the field, but I suspect his passion lies in playing with ideas and theories, not in trying to teach the next generation about how to do so.",2,Negative,197
101778,Terrific course. Very useful.,5,Positive,4
89353,Need English Version Please,1,Negative,4
3280,I didnt know anything about Angular. Now I feel confident with the skills learned. Great instructor. Funny,5,Positive,17
62932,Very good course. I recommend to anyone who's interested in data analysis and machine learning.,5,Positive,15
69071,"The video lectures provide a clear and concise introduction to interesting topics in machine learning (ML). However, the exercises are very general and use 'black box' ML algorithms for most of the solutions. For me, the exercise structure was more confusing than educating. I am aware that this is the intro course to the specialization, and I am looking forward to actually building the algorithms in the future courses. Too bad you can only take the entire specialization over the course of ~6 months, and not at your own pace! Especially since the homework is checked automatically.",3,Neutral,97
10567,The information is not presented well and the math is not always taught.,1,Negative,13
88631,"Excellent course, easy to follow while still challenging.",5,Positive,8
17839,it's a shame to split a one month course to four.,1,Negative,11
61569,"Totally useless.1) Why is she speaking so so so slow? I put the playback rate at X 1,50 in order to be able to understand her.2) She is just making a summary in bullets of the readings that we are supposed to read anyway. Nothing new in the lectures.If it was not a part of the Specialization I would never follow that course, neither the other one taught by the same professor.",1,Negative,72
88665,Not the quality i expected. The capstone project should have been little more challenging and something new.,2,Negative,17
99899,"It was easy to 'complete' the course, but I have failed to implement its suggestions. I think I will have a better idea of what to do once I actually follow the techniques.",3,Neutral,33
76260,This course is way too simple and too slow. Probably good for someone who has never done programming before.,3,Neutral,19
3913,"Very good professor, good course for a start.",4,Positive,8
90627,It is not very clear. The assignments have several problems with the given code. There are many things to improve in the next sessions.,2,Negative,24
43572,I am amazed by this high quality course. It is my very first completed course here at coursera and it did change my concept of learning. I love Baba's passionate characteristic!,5,Positive,31
20977,nice course....good for learning basic excel....,4,Positive,6
74520,"A well-structured course,with an amazing proffesor",5,Positive,6
61342,"a lot of reading existing content, less from the master himself :).. was hoping to get more business case examples. still, an amazing introductory course. thank you",3,Neutral,27
104450,"This course is amazing! Information is presented in a funny way, and it is sticky.",5,Positive,15
18604,No ancillary reading material or text to help along with the assignments lead me to fail the course.,1,Negative,18
99073,"This was a great course for me. I tried to get a general overview of Wind Energy and the course covered quite a lot. For sure the course can scratch on the surface of the topic only and can't go deep into detail but there are sessions where one has to sit down and think and understand the theory. - Lectures are well structured, teachers know what they talk about and presentation and links for additional materials are good. I recommend this course for those who want an insight in Wind Energy.",5,Positive,92
99959,Very disappointed that the assignments are not part of the f,2,Negative,11
12087,"Inattentive lectures. There're only a few videos that are worth watching. You need to be prepared for wasting a lot of time for programming assignments -- it's not because the assignments are tough but because of poor descriptions and out of sync with lectures. If you're interested, just download the online material (not videos) and read through it. Much better than wasting your time with the lecture videos and assignments.",1,Negative,70
16971,Loved the structure of the course. It was a great learning experience!,5,Positive,12
51952,Thank you very much guys! This course was amazing! Very interactive and I learned a lot.Thank you.,5,Positive,17
90191,"The assignment code is ambiguous and the assignment is not clear! The lecture is not much helpful than I thought it would be. Overall, I would not recommend this course if you don't need the certificate.",1,Negative,36
79692,"Course is overwhelming. How can you put a 30 minute video for a class? Can you divide it or make it simpler? Tutor is not explaning, he only reads; he reads sort of teleprompter and that's it. Boring. Very disappointed. And this is not my first course in Coursera. I feel I'm about to quit, and this is the second week...",1,Negative,61
106684,Very good as a structure. Valuable as a course.,5,Positive,9
6963,"The contents of this course will be familiar to anyone who reads popular science books. The course is useful mainly for pulling various strands together, but don't expect much depth.",3,Neutral,30
21024,great course but I cant seem to get a certificate even after paying and finishing it,4,Positive,16
9799,It's better to watch the Youtube videos to understand the concepts.,1,Negative,11
98616,"Some modules are better than others. There is a strong emphasis in accounting rather than modelling, which was not what I was looking for.",3,Neutral,24
52914,"A good introductory course to the world of VC but fails to provide a deep enough dive into issues of internal VC/PE deal flow evaluation, processes. Not analytical enough.",3,Neutral,29
22616,Very basic overview of the topic. Did not meet my expectations.,3,Neutral,11
7802,Thanks a lot for this course! I've learned such an interesting and helpful information. All the best!,5,Positive,17
24937,"1 out of 10.A waste of time. If I cannot participate in discussions, forums, submit assignments, or give reviews, I might as well watch youtube lectures.The course content was very poor as well. (this is based on the unpaid material)This course should be scrapped and not offered as an unpaid course. Its a classical case of bait and switch.",2,Negative,59
61384,too many information just to be said.,2,Negative,7
90730,"Not a beginner course. You need an engineering background to know how to interpret the equations enough to finish the coding assignments in Matlab. Some of the equations presented don't have enough explanation behind them for them to seem in context or to give any idea about how they can be applied.I have a background in electrical engineering, and I studied control systems in undergrad, so I was able to get by. If you can't manage through this course, don't feel like you aren't smart enough to complete it; rather, you just don't have the proper pre-requisites.",3,Neutral,97
48519,"Only able to audit the class, no longer able to take quizzes and tests. I recommend the Python classes from Michigan over these if you are looking to avoid paying for old material.",1,Negative,33
80289,I think the discussion on initiating and planning projects could be improved to be a bit more comprehensive and It would be great if the lecture slides were downloadable.,3,Neutral,29
97390,"this course is a decent introduction and overview from a sociological perspective, of the city. It is well structured, progresses quickly, and begins to contrast the sociological analysis with contemporary theory and critical approaches.",3,Neutral,34
80287,This class is taught a terrible pace and is very old-school in it's thinking. It was pretty painful to get through actually,1,Negative,22
11861,"Excellent introductory course to bayesian statistics. I'd like to thank Professor Lee, University of Santa Cruz, Coursera and all supporting staff for the opportunity. I'd enjoy if you provided intermediate and advanced courses on bayesian statistics that covers more topics.",5,Positive,40
14307,"Not really specific, just a broad indtroduction to data analysis.",3,Neutral,10
15268,"highly recommended for newbs in any kind of development, otherwise waste of time.",3,Neutral,13
85805,"The content was well explained but a bit ""light"".",3,Neutral,9
